product_name,price,discount_percent,product_rating,number_of_reviews,freeship,category,sold
máy hút bụi cầm tay 2 chiều hàng nhập khẩu cao cấp (giao mầu ngẫu nhiên ),451000,10,4.8,18,1,máy hút bụi,57
máy hút bụi deerma dx115c ( hàng nhập khẩu ),474050,31,4.6,14,1,máy hút bụi,55
máy hút bụi philips fc957001 - hàng chính hãng,3323000,17,4.4,1,1,máy hút bụi,9
máy hút bụi khô và ướt hiclean hc30 (thùng inox chống gỉ dung tích 30l) - hàng chính hãng,2425000,2,4.7,19,1,máy hút bụi,61
máy hút bụi mini cầm tay deerma - hàng chính hãng,483550,30,5.0,2,1,máy hút bụi,91
máy hút bụi sumika k30 màu vàng 30l 1800w hút nước hút bụi thổi bụi dây điện dài 10m thùng chứa inox không gỉ - hàng chính hãng,2089000,2,4.6,25,1,máy hút bụi,48
máy hút bụi khô và ướt hiclean hc15p (dung tích 15l 1500w) - hàng chính hãng,1966000,2,4.5,11,0,máy hút bụi,38
máy hút bụi cầm tay không dây damas da113c - lực hút mạnh mẽ 16000pa - đa năng hút bụi khô và ướt - máy hút bụi ô tô hút bụi gia đình - hàng chính hãng,315560,55,4.6,45,1,máy hút bụi,128
máy hút bụi cầm tay không dây sạc pin đa năng damas d610w - hàng nhập khẩu,475640,47,4.7,37,1,máy hút bụi,146
máy hút bụi nhà green home gha 102 - hàng chính hãng,888000,5,4.6,11,1,máy hút bụi,217
máy hút bụi cầm tay không dây sử dụng pin sạc damas vacuum cleaner d610w - hàng chính hãng,497000,48,4.6,434,1,máy hút bụi,2000
máy hút bụi khô và ướt hiclean sp30 công suất 1500w thùng nhựa abs dung tích 30l - hàng chính hãng,2011000,2,4.7,3,1,máy hút bụi,2
máy hút bụi cầm tay không dây sử dụng pin sạc chuyên dụng hút bụi vệ sinh giường nệm chăn ga ghế sofa máy hút bụi giường nệm diệt khuẩn uv - hàng chính hãng miniin,159200,20,4.3,3,1,máy hút bụi,12
máy hút bụi cầm tay công nghệ lốc xoáy 2 chiều votemm (600w) - hàng chính hãng hút mạnh chạy êm bảo hành 1 năm,890000,41,4.6,11,1,máy hút bụi,35
máy hút bụi cầm tay mini deerma dx118c dung tích bình chứa bụi 12l - hàng chính hãng,540000,8,5.0,1,1,máy hút bụi,22
máy hút bụi deerma dx700s ( hàng nhập khẩu ),785000,6,4.8,21,1,máy hút bụi,66
nồi chiên không dầu daewoo def-dm550 (26l) - hàng chính hãng,932000,53,4.5,5,1,nồi chiên không dầu,32
nồi chiên không dầu daewoo def-dm555 (26l) - hàng chính hãng,932000,57,4.5,10,1,nồi chiên không dầu,72
nồi chiên không dầu philips hd9280 90 essential size xl digital connected - hàng chính hãng,2330000,53,5.0,39,1,nồi chiên không dầu,225
nồi chiên không dầu philips 62 lít na23000 - hàng chính hãng,1806300,40,5.0,14,1,nồi chiên không dầu,73
nồi chiên không dầu philips 42 lít na22000 - hàng chính hãng,1581150,34,5.0,3,1,nồi chiên không dầu,24
nồi chiên không dầu philips 42 lít na12000 - hàng chính hãng,1050100,45,5.0,4,1,nồi chiên không dầu,24
nồi chiên không dầu thế hệ mới dung tích lớn công suất 1500w - hàng nhập khẩu,584900,10,5.0,1,1,nồi chiên không dầu,12
nồi chiên không dầu điện tử bluestone afb-5880 (55 lít) - hàng chính hãng,2849000,2,5.0,2,1,nồi chiên không dầu,14
nôi chiên không dâu sunhouse shd4062 (60 lít) - hàng chính hãng,1495000,3,4.7,3,1,nồi chiên không dầu,3
nồi chiên không dầu bluestone afb-5858 7 lít 1800w - hàng chính hãng,2949000,2,5.0,1,1,nồi chiên không dầu,2
nồi chiên không dầu điện tử bluestone afb-5888 (10 lít) - hàng chính hãng,4949000,1,5.0,1,1,nồi chiên không dầu,16
nồi chiên không dầu viaicom v45a công nghệ mới nhất - hàng chính hãng,1249000,4,3.5,1,1,nồi chiên không dầu,2
nồi chiên không dầu philips hd9745 (1500w) - hàng chính hãng,6640000,1,4.0,1,1,nồi chiên không dầu,1
nồi chiên không dầu philips hd920090 (41 lít) - hàng chính hãng,1643000,29,5.0,17,1,nồi chiên không dầu,52
nồi chiên không dầu perfect pf-d92 (5 lít) - hàng chính hãng,1175000,4,4.1,1,1,nồi chiên không dầu,4
